"ProjectKey","SUT","Variant","Branch","IssueKey","Rule","Type","Severity","Line","Message","NormalizedMessage","Fingerprint","Effort","Debt","Status","Tags","ResultPath"
"zookeeper-snapshotcomparer-c0-production","SnapshotComparer","C0","experiment/snapshot-c0","AaARag19o1r9Pg2Q9qZI","java:S106","CODE_SMELL","MAJOR","226","Replace this use of System.out or System.err by a logger.","replace this use of system.out or system.err by a logger.","java:S106|replace this use of system.out or system.err by a logger.","10min","10min","OPEN","bad-practice;cert;owasp-a3","C:\Users\casol\Desktop\zookeeper-metrics\snapshotcomparer\c0\sonar-production"
"zookeeper-snapshotcomparer-c0-production","SnapshotComparer","C0","experiment/snapshot-c0","AaARag19o1r9Pg2Q9qZJ","java:S1110","CODE_SMELL","MAJOR","227","Remove these useless parentheses.","remove these useless parentheses.","java:S1110|remove these useless parentheses.","1min","1min","OPEN","confusing","C:\Users\casol\Desktop\zookeeper-metrics\snapshotcomparer\c0\sonar-production"
"zookeeper-snapshotcomparer-c0-production","SnapshotComparer","C0","experiment/snapshot-c0","AaARag19o1r9Pg2Q9qZK","java:S100","CODE_SMELL","MINOR","251","Rename this method name to match the regular expression '^[a-z][a-zA-Z0-9]*$'.","rename this method name to match the regular expression '^[a-z][a-za-z<n>-<n>]*$'.","java:S100|rename this method name to match the regular expression '^[a-z][a-za-z<n>-<n>]*$'.","5min","5min","OPEN","convention","C:\Users\casol\Desktop\zookeeper-metrics\snapshotcomparer\c0\sonar-production"
"zookeeper-snapshotcomparer-c0-production","SnapshotComparer","C0","experiment/snapshot-c0","AaARag1-o1r9Pg2Q9qZl","java:S3398","CODE_SMELL","MINOR","261","Move this method into ""TreeInfo"".","move this method into ""treeinfo"".","java:S3398|move this method into ""treeinfo"".","5min","5min","OPEN","confusing","C:\Users\casol\Desktop\zookeeper-metrics\snapshotcomparer\c0\sonar-production"
"zookeeper-snapshotcomparer-c0-production","SnapshotComparer","C0","experiment/snapshot-c0","AaARag18o1r9Pg2Q9qY2","java:S112","CODE_SMELL","MAJOR","261","Define and throw a dedicated exception instead of using a generic one.","define and throw a dedicated exception instead of using a generic one.","java:S112|define and throw a dedicated exception instead of using a generic one.","20min","20min","OPEN","cert;cwe;error-handling","C:\Users\casol\Desktop\zookeeper-metrics\snapshotcomparer\c0\sonar-production"
"zookeeper-snapshotcomparer-c0-production","SnapshotComparer","C0","experiment/snapshot-c0","AaARag19o1r9Pg2Q9qZL","java:S106","CODE_SMELL","MAJOR","270","Replace this use of System.out or System.err by a logger.","replace this use of system.out or system.err by a logger.","java:S106|replace this use of system.out or system.err by a logger.","10min","10min","OPEN","bad-practice;cert;owasp-a3","C:\Users\casol\Desktop\zookeeper-metrics\snapshotcomparer\c0\sonar-production"
"zookeeper-snapshotcomparer-c0-production","SnapshotComparer","C0","experiment/snapshot-c0","AaARag19o1r9Pg2Q9qZM","java:S1110","CODE_SMELL","MAJOR","271","Remove these useless parentheses.","remove these useless parentheses.","java:S1110|remove these useless parentheses.","1min","1min","OPEN","confusing","C:\Users\casol\Desktop\zookeeper-metrics\snapshotcomparer\c0\sonar-production"
"zookeeper-snapshotcomparer-c0-production","SnapshotComparer","C0","experiment/snapshot-c0","AaARag19o1r9Pg2Q9qZN","java:S106","CODE_SMELL","MAJOR","276","Replace this use of System.out or System.err by a logger.","replace this use of system.out or system.err by a logger.","java:S106|replace this use of system.out or system.err by a logger.","10min","10min","OPEN","bad-practice;cert;owasp-a3","C:\Users\casol\Desktop\zookeeper-metrics\snapshotcomparer\c0\sonar-production"
"zookeeper-snapshotcomparer-c0-production","SnapshotComparer","C0","experiment/snapshot-c0","AaARag19o1r9Pg2Q9qZO","java:S3776","CODE_SMELL","CRITICAL","279","Refactor this method to reduce its Cognitive Complexity from 26 to the 15 allowed.","refactor this method to reduce its cognitive complexity from <n> to the <n> allowed.","java:S3776|refactor this method to reduce its cognitive complexity from <n> to the <n> allowed.","16min","16min","OPEN","brain-overload","C:\Users\casol\Desktop\zookeeper-metrics\snapshotcomparer\c0\sonar-production"
"zookeeper-snapshotcomparer-c0-production","SnapshotComparer","C0","experiment/snapshot-c0","AaARag18o1r9Pg2Q9qY5","java:S1192","CODE_SMELL","CRITICAL","285","Define a constant instead of duplicating this literal ""Analysis for depth %d"" 3 times.","define a constant instead of duplicating this literal ""analysis for depth %d"" <n> times.","java:S1192|define a constant instead of duplicating this literal ""analysis for depth %d"" <n> times.","8min","8min","OPEN","design","C:\Users\casol\Desktop\zookeeper-metrics\snapshotcomparer\c0\sonar-production"
"zookeeper-snapshotcomparer-c0-production","SnapshotComparer","C0","experiment/snapshot-c0","AaARag19o1r9Pg2Q9qZP","java:S106","CODE_SMELL","MAJOR","285","Replace this use of System.out or System.err by a logger.","replace this use of system.out or system.err by a logger.","java:S106|replace this use of system.out or system.err by a logger.","10min","10min","OPEN","bad-practice;cert;owasp-a3","C:\Users\casol\Desktop\zookeeper-metrics\snapshotcomparer\c0\sonar-production"
"zookeeper-snapshotcomparer-c0-production","SnapshotComparer","C0","experiment/snapshot-c0","AaARag19o1r9Pg2Q9qZQ","java:S106","CODE_SMELL","MAJOR","293","Replace this use of System.out or System.err by a logger.","replace this use of system.out or system.err by a logger.","java:S106|replace this use of system.out or system.err by a logger.","10min","10min","OPEN","bad-practice;cert;owasp-a3","C:\Users\casol\Desktop\zookeeper-metrics\snapshotcomparer\c0\sonar-production"
"zookeeper-snapshotcomparer-c0-production","SnapshotComparer","C0","experiment/snapshot-c0","AaARag19o1r9Pg2Q9qZR","java:S106","CODE_SMELL","MAJOR","294","Replace this use of System.out or System.err by a logger.","replace this use of system.out or system.err by a logger.","java:S106|replace this use of system.out or system.err by a logger.","10min","10min","OPEN","bad-practice;cert;owasp-a3","C:\Users\casol\Desktop\zookeeper-metrics\snapshotcomparer\c0\sonar-production"
"zookeeper-snapshotcomparer-c0-production","SnapshotComparer","C0","experiment/snapshot-c0","AaARag19o1r9Pg2Q9qZS","java:S106","CODE_SMELL","MAJOR","299","Replace this use of System.out or System.err by a logger.","replace this use of system.out or system.err by a logger.","java:S106|replace this use of system.out or system.err by a logger.","10min","10min","OPEN","bad-practice;cert;owasp-a3","C:\Users\casol\Desktop\zookeeper-metrics\snapshotcomparer\c0\sonar-production"
"zookeeper-snapshotcomparer-c0-production","SnapshotComparer","C0","experiment/snapshot-c0","AaARag19o1r9Pg2Q9qZT","java:S106","CODE_SMELL","MAJOR","305","Replace this use of System.out or System.err by a logger.","replace this use of system.out or system.err by a logger.","java:S106|replace this use of system.out or system.err by a logger.","10min","10min","OPEN","bad-practice;cert;owasp-a3","C:\Users\casol\Desktop\zookeeper-metrics\snapshotcomparer\c0\sonar-production"
"zookeeper-snapshotcomparer-c0-production","SnapshotComparer","C0","experiment/snapshot-c0","AaARag19o1r9Pg2Q9qZU","java:S106","CODE_SMELL","MAJOR","312","Replace this use of System.out or System.err by a logger.","replace this use of system.out or system.err by a logger.","java:S106|replace this use of system.out or system.err by a logger.","10min","10min","OPEN","bad-practice;cert;owasp-a3","C:\Users\casol\Desktop\zookeeper-metrics\snapshotcomparer\c0\sonar-production"
"zookeeper-snapshotcomparer-c0-production","SnapshotComparer","C0","experiment/snapshot-c0","AaARag19o1r9Pg2Q9qZV","java:S106","CODE_SMELL","MAJOR","316","Replace this use of System.out or System.err by a logger.","replace this use of system.out or system.err by a logger.","java:S106|replace this use of system.out or system.err by a logger.","10min","10min","OPEN","bad-practice;cert;owasp-a3","C:\Users\casol\Desktop\zookeeper-metrics\snapshotcomparer\c0\sonar-production"
"zookeeper-snapshotcomparer-c0-production","SnapshotComparer","C0","experiment/snapshot-c0","AaARag19o1r9Pg2Q9qZW","java:S106","CODE_SMELL","MAJOR","320","Replace this use of System.out or System.err by a logger.","replace this use of system.out or system.err by a logger.","java:S106|replace this use of system.out or system.err by a logger.","10min","10min","OPEN","bad-practice;cert;owasp-a3","C:\Users\casol\Desktop\zookeeper-metrics\snapshotcomparer\c0\sonar-production"
"zookeeper-snapshotcomparer-c0-production","SnapshotComparer","C0","experiment/snapshot-c0","AaARag19o1r9Pg2Q9qZX","java:S106","CODE_SMELL","MAJOR","324","Replace this use of System.out or System.err by a logger.","replace this use of system.out or system.err by a logger.","java:S106|replace this use of system.out or system.err by a logger.","10min","10min","OPEN","bad-practice;cert;owasp-a3","C:\Users\casol\Desktop\zookeeper-metrics\snapshotcomparer\c0\sonar-production"
"zookeeper-snapshotcomparer-c0-production","SnapshotComparer","C0","experiment/snapshot-c0","AaARag19o1r9Pg2Q9qZY","java:S106","CODE_SMELL","MAJOR","327","Replace this use of System.out or System.err by a logger.","replace this use of system.out or system.err by a logger.","java:S106|replace this use of system.out or system.err by a logger.","10min","10min","OPEN","bad-practice;cert;owasp-a3","C:\Users\casol\Desktop\zookeeper-metrics\snapshotcomparer\c0\sonar-production"
"zookeeper-snapshotcomparer-c0-production","SnapshotComparer","C0","experiment/snapshot-c0","AaARag18o1r9Pg2Q9qY3","java:S2293","CODE_SMELL","MINOR","334","Replace the type specification in this constructor call with the diamond operator (""<>"").","replace the type specification in this constructor call with the diamond operator (""<>"").","java:S2293|replace the type specification in this constructor call with the diamond operator (""<>"").","1min","1min","OPEN","clumsy","C:\Users\casol\Desktop\zookeeper-metrics\snapshotcomparer\c0\sonar-production"
"zookeeper-snapshotcomparer-c0-production","SnapshotComparer","C0","experiment/snapshot-c0","AaARag18o1r9Pg2Q9qY4","java:S2293","CODE_SMELL","MINOR","335","Replace the type specification in this constructor call with the diamond operator (""<>"").","replace the type specification in this constructor call with the diamond operator (""<>"").","java:S2293|replace the type specification in this constructor call with the diamond operator (""<>"").","1min","1min","OPEN","clumsy","C:\Users\casol\Desktop\zookeeper-metrics\snapshotcomparer\c0\sonar-production"
"zookeeper-snapshotcomparer-c0-production","SnapshotComparer","C0","experiment/snapshot-c0","AaARag19o1r9Pg2Q9qZZ","java:S106","CODE_SMELL","MAJOR","338","Replace this use of System.out or System.err by a logger.","replace this use of system.out or system.err by a logger.","java:S106|replace this use of system.out or system.err by a logger.","10min","10min","OPEN","bad-practice;cert;owasp-a3","C:\Users\casol\Desktop\zookeeper-metrics\snapshotcomparer\c0\sonar-production"
"zookeeper-snapshotcomparer-c0-production","SnapshotComparer","C0","experiment/snapshot-c0","AaARag19o1r9Pg2Q9qZa","java:S3776","CODE_SMELL","CRITICAL","361","Refactor this method to reduce its Cognitive Complexity from 31 to the 15 allowed.","refactor this method to reduce its cognitive complexity from <n> to the <n> allowed.","java:S3776|refactor this method to reduce its cognitive complexity from <n> to the <n> allowed.","21min","21min","OPEN","brain-overload","C:\Users\casol\Desktop\zookeeper-metrics\snapshotcomparer\c0\sonar-production"
"zookeeper-snapshotcomparer-c0-production","SnapshotComparer","C0","experiment/snapshot-c0","AaARag19o1r9Pg2Q9qZb","java:S106","CODE_SMELL","MAJOR","384","Replace this use of System.out or System.err by a logger.","replace this use of system.out or system.err by a logger.","java:S106|replace this use of system.out or system.err by a logger.","10min","10min","OPEN","bad-practice;cert;owasp-a3","C:\Users\casol\Desktop\zookeeper-metrics\snapshotcomparer\c0\sonar-production"
"zookeeper-snapshotcomparer-c0-production","SnapshotComparer","C0","experiment/snapshot-c0","AaARag19o1r9Pg2Q9qZc","java:S106","CODE_SMELL","MAJOR","389","Replace this use of System.out or System.err by a logger.","replace this use of system.out or system.err by a logger.","java:S106|replace this use of system.out or system.err by a logger.","10min","10min","OPEN","bad-practice;cert;owasp-a3","C:\Users\casol\Desktop\zookeeper-metrics\snapshotcomparer\c0\sonar-production"
"zookeeper-snapshotcomparer-c0-production","SnapshotComparer","C0","experiment/snapshot-c0","AaARag1-o1r9Pg2Q9qZd","java:S106","CODE_SMELL","MAJOR","395","Replace this use of System.out or System.err by a logger.","replace this use of system.out or system.err by a logger.","java:S106|replace this use of system.out or system.err by a logger.","10min","10min","OPEN","bad-practice;cert;owasp-a3","C:\Users\casol\Desktop\zookeeper-metrics\snapshotcomparer\c0\sonar-production"
"zookeeper-snapshotcomparer-c0-production","SnapshotComparer","C0","experiment/snapshot-c0","AaARag1-o1r9Pg2Q9qZe","java:S106","CODE_SMELL","MAJOR","401","Replace this use of System.out or System.err by a logger.","replace this use of system.out or system.err by a logger.","java:S106|replace this use of system.out or system.err by a logger.","10min","10min","OPEN","bad-practice;cert;owasp-a3","C:\Users\casol\Desktop\zookeeper-metrics\snapshotcomparer\c0\sonar-production"
"zookeeper-snapshotcomparer-c0-production","SnapshotComparer","C0","experiment/snapshot-c0","AaARag18o1r9Pg2Q9qY6","java:S2259","BUG","MAJOR","411","""NullPointerException"" will be thrown when invoking method ""printRightOnly()"".","""nullpointerexception"" will be thrown when invoking method ""printrightonly()"".","java:S2259|""nullpointerexception"" will be thrown when invoking method ""printrightonly()"".","10min","10min","OPEN","cert;cwe","C:\Users\casol\Desktop\zookeeper-metrics\snapshotcomparer\c0\sonar-production"
"zookeeper-snapshotcomparer-c0-production","SnapshotComparer","C0","experiment/snapshot-c0","AaARag1-o1r9Pg2Q9qZf","java:S106","CODE_SMELL","MAJOR","425","Replace this use of System.out or System.err by a logger.","replace this use of system.out or system.err by a logger.","java:S106|replace this use of system.out or system.err by a logger.","10min","10min","OPEN","bad-practice;cert;owasp-a3","C:\Users\casol\Desktop\zookeeper-metrics\snapshotcomparer\c0\sonar-production"
"zookeeper-snapshotcomparer-c0-production","SnapshotComparer","C0","experiment/snapshot-c0","AaARag1-o1r9Pg2Q9qZg","java:S106","CODE_SMELL","MAJOR","427","Replace this use of System.out or System.err by a logger.","replace this use of system.out or system.err by a logger.","java:S106|replace this use of system.out or system.err by a logger.","10min","10min","OPEN","bad-practice;cert;owasp-a3","C:\Users\casol\Desktop\zookeeper-metrics\snapshotcomparer\c0\sonar-production"
"zookeeper-snapshotcomparer-c0-production","SnapshotComparer","C0","experiment/snapshot-c0","AaARag1-o1r9Pg2Q9qZh","java:S106","CODE_SMELL","MAJOR","436","Replace this use of System.out or System.err by a logger.","replace this use of system.out or system.err by a logger.","java:S106|replace this use of system.out or system.err by a logger.","10min","10min","OPEN","bad-practice;cert;owasp-a3","C:\Users\casol\Desktop\zookeeper-metrics\snapshotcomparer\c0\sonar-production"
"zookeeper-snapshotcomparer-c0-production","SnapshotComparer","C0","experiment/snapshot-c0","AaARag1-o1r9Pg2Q9qZi","java:S106","CODE_SMELL","MAJOR","438","Replace this use of System.out or System.err by a logger.","replace this use of system.out or system.err by a logger.","java:S106|replace this use of system.out or system.err by a logger.","10min","10min","OPEN","bad-practice;cert;owasp-a3","C:\Users\casol\Desktop\zookeeper-metrics\snapshotcomparer\c0\sonar-production"
"zookeeper-snapshotcomparer-c0-production","SnapshotComparer","C0","experiment/snapshot-c0","AaARag1-o1r9Pg2Q9qZj","java:S106","CODE_SMELL","MAJOR","445","Replace this use of System.out or System.err by a logger.","replace this use of system.out or system.err by a logger.","java:S106|replace this use of system.out or system.err by a logger.","10min","10min","OPEN","bad-practice;cert;owasp-a3","C:\Users\casol\Desktop\zookeeper-metrics\snapshotcomparer\c0\sonar-production"
"zookeeper-snapshotcomparer-c0-production","SnapshotComparer","C0","experiment/snapshot-c0","AaARag1-o1r9Pg2Q9qZk","java:S106","CODE_SMELL","MAJOR","451","Replace this use of System.out or System.err by a logger.","replace this use of system.out or system.err by a logger.","java:S106|replace this use of system.out or system.err by a logger.","10min","10min","OPEN","bad-practice;cert;owasp-a3","C:\Users\casol\Desktop\zookeeper-metrics\snapshotcomparer\c0\sonar-production"
"zookeeper-snapshotcomparer-c1-production","SnapshotComparer","C1","experiment/snapshot-c1","AaARb43Uo1r9Pg2Q9qc5","java:S106","CODE_SMELL","MAJOR","180","Replace this use of System.out or System.err by a logger.","replace this use of system.out or system.err by a logger.","java:S106|replace this use of system.out or system.err by a logger.","10min","10min","OPEN","bad-practice;cert;owasp-a3","C:\Users\casol\Desktop\zookeeper-metrics\snapshotcomparer\c1\sonar-production"
"zookeeper-snapshotcomparer-c1-production","SnapshotComparer","C1","experiment/snapshot-c1","AaARb43Uo1r9Pg2Q9qc6","java:S1075","CODE_SMELL","MINOR","270","Remove this hard-coded path-delimiter.","remove this hard-coded path-delimiter.","java:S1075|remove this hard-coded path-delimiter.","20min","20min","OPEN","android;cert","C:\Users\casol\Desktop\zookeeper-metrics\snapshotcomparer\c1\sonar-production"
"zookeeper-snapshotcomparer-c1-production","SnapshotComparer","C1","experiment/snapshot-c1","AaARb43Uo1r9Pg2Q9qc7","java:S2445","BUG","MAJOR","285","""node"" is a method parameter, and should not be used for synchronization.","""node"" is a method parameter, and should not be used for synchronization.","java:S2445|""node"" is a method parameter, and should not be used for synchronization.","15min","15min","OPEN","cert;cwe;multi-threading","C:\Users\casol\Desktop\zookeeper-metrics\snapshotcomparer\c1\sonar-production"
"zookeeper-snapshotcomparer-c1-production","SnapshotComparer","C1","experiment/snapshot-c1","AaARb43Uo1r9Pg2Q9qc8","java:S106","CODE_SMELL","MAJOR","322","Replace this use of System.out or System.err by a logger.","replace this use of system.out or system.err by a logger.","java:S106|replace this use of system.out or system.err by a logger.","10min","10min","OPEN","bad-practice;cert;owasp-a3","C:\Users\casol\Desktop\zookeeper-metrics\snapshotcomparer\c1\sonar-production"
"zookeeper-snapshotcomparer-c1-production","SnapshotComparer","C1","experiment/snapshot-c1","AaARb43Uo1r9Pg2Q9qc-","java:S106","CODE_SMELL","MAJOR","383","Replace this use of System.out or System.err by a logger.","replace this use of system.out or system.err by a logger.","java:S106|replace this use of system.out or system.err by a logger.","10min","10min","OPEN","bad-practice;cert;owasp-a3","C:\Users\casol\Desktop\zookeeper-metrics\snapshotcomparer\c1\sonar-production"
"zookeeper-snapshotcomparer-c1-production","SnapshotComparer","C1","experiment/snapshot-c1","AaARb43Uo1r9Pg2Q9qc_","java:S1110","CODE_SMELL","MAJOR","392","Remove these useless parentheses.","remove these useless parentheses.","java:S1110|remove these useless parentheses.","1min","1min","OPEN","confusing","C:\Users\casol\Desktop\zookeeper-metrics\snapshotcomparer\c1\sonar-production"
"zookeeper-snapshotcomparer-c1-production","SnapshotComparer","C1","experiment/snapshot-c1","AaARb43Uo1r9Pg2Q9qdA","java:S106","CODE_SMELL","MAJOR","399","Replace this use of System.out or System.err by a logger.","replace this use of system.out or system.err by a logger.","java:S106|replace this use of system.out or system.err by a logger.","10min","10min","OPEN","bad-practice;cert;owasp-a3","C:\Users\casol\Desktop\zookeeper-metrics\snapshotcomparer\c1\sonar-production"
"zookeeper-snapshotcomparer-c1-production","SnapshotComparer","C1","experiment/snapshot-c1","AaARb43Uo1r9Pg2Q9qdB","java:S106","CODE_SMELL","MAJOR","435","Replace this use of System.out or System.err by a logger.","replace this use of system.out or system.err by a logger.","java:S106|replace this use of system.out or system.err by a logger.","10min","10min","OPEN","bad-practice;cert;owasp-a3","C:\Users\casol\Desktop\zookeeper-metrics\snapshotcomparer\c1\sonar-production"
"zookeeper-snapshotcomparer-c1-production","SnapshotComparer","C1","experiment/snapshot-c1","AaARb43Uo1r9Pg2Q9qdC","java:S106","CODE_SMELL","MAJOR","449","Replace this use of System.out or System.err by a logger.","replace this use of system.out or system.err by a logger.","java:S106|replace this use of system.out or system.err by a logger.","10min","10min","OPEN","bad-practice;cert;owasp-a3","C:\Users\casol\Desktop\zookeeper-metrics\snapshotcomparer\c1\sonar-production"
"zookeeper-snapshotcomparer-c1-production","SnapshotComparer","C1","experiment/snapshot-c1","AaARb43Uo1r9Pg2Q9qdD","java:S106","CODE_SMELL","MAJOR","509","Replace this use of System.out or System.err by a logger.","replace this use of system.out or system.err by a logger.","java:S106|replace this use of system.out or system.err by a logger.","10min","10min","OPEN","bad-practice;cert;owasp-a3","C:\Users\casol\Desktop\zookeeper-metrics\snapshotcomparer\c1\sonar-production"
"zookeeper-snapshotcomparer-c1-production","SnapshotComparer","C1","experiment/snapshot-c1","AaARb43Vo1r9Pg2Q9qdE","java:S106","CODE_SMELL","MAJOR","514","Replace this use of System.out or System.err by a logger.","replace this use of system.out or system.err by a logger.","java:S106|replace this use of system.out or system.err by a logger.","10min","10min","OPEN","bad-practice;cert;owasp-a3","C:\Users\casol\Desktop\zookeeper-metrics\snapshotcomparer\c1\sonar-production"
"zookeeper-snapshotcomparer-c1-production","SnapshotComparer","C1","experiment/snapshot-c1","AaARb43Vo1r9Pg2Q9qdF","java:S106","CODE_SMELL","MAJOR","518","Replace this use of System.out or System.err by a logger.","replace this use of system.out or system.err by a logger.","java:S106|replace this use of system.out or system.err by a logger.","10min","10min","OPEN","bad-practice;cert;owasp-a3","C:\Users\casol\Desktop\zookeeper-metrics\snapshotcomparer\c1\sonar-production"
